epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,406.737,0.50656,1.13511,0.3504,0.49316,0.27517,0.27127,0.17799,0.46217,9.60217,0.63042,3.32965e-05,3.32965e-05,0.0667368
2,1030.8,0.40904,0.76271,0.31343,0.79106,0.59166,0.60217,0.44226,0.37514,0.77838,0.49683,6.59702e-05,6.59702e-05,0.0334361
3,1723.83,0.33712,0.65726,0.27224,0.87946,0.81947,0.86666,0.71944,0.16724,0.59416,0.21399,9.79839e-05,9.79839e-05,0.000134816
4,2522.6,0.30597,0.60442,0.25086,0.91045,0.86683,0.92017,0.79849,0.15763,0.96953,0.17624,9.703e-05,9.703e-05,9.703e-05
5,3047.89,0.29586,0.55643,0.24437,0.9406,0.87021,0.92627,0.82348,0.145,0.63306,0.1524,9.604e-05,9.604e-05,9.604e-05
6,3570.94,0.2865,0.54009,0.23636,0.94497,0.88862,0.93873,0.8242,0.15201,0.46268,0.1606,9.505e-05,9.505e-05,9.505e-05
7,4054.22,0.27854,0.52699,0.2266,0.94812,0.8921,0.94332,0.83548,0.13972,0.54319,0.15253,9.406e-05,9.406e-05,9.406e-05
8,4539.39,0.2815,0.50824,0.22999,0.91941,0.8917,0.92141,0.82992,0.14504,0.67558,0.15671,9.307e-05,9.307e-05,9.307e-05
9,5025.94,0.26946,0.49742,0.22059,0.9376,0.90694,0.94142,0.84597,0.14133,0.51762,0.14666,9.208e-05,9.208e-05,9.208e-05
10,5553.79,0.26325,0.47844,0.21337,0.95275,0.90213,0.94504,0.85362,0.12918,0.59984,0.13098,9.109e-05,9.109e-05,9.109e-05
11,6036.35,0.26291,0.47465,0.21064,0.94651,0.90136,0.94682,0.85018,0.13727,0.47081,0.14264,9.01e-05,9.01e-05,9.01e-05
12,6613.24,0.25822,0.45856,0.20867,0.9673,0.90132,0.94322,0.86039,0.12994,0.45212,0.1356,8.911e-05,8.911e-05,8.911e-05
13,7099.69,0.25607,0.46408,0.20065,0.9579,0.90895,0.9483,0.85291,0.13952,0.39153,0.14779,8.812e-05,8.812e-05,8.812e-05
14,7684.23,0.25268,0.44535,0.20434,0.96598,0.90694,0.94904,0.86645,0.13288,0.34038,0.13438,8.713e-05,8.713e-05,8.713e-05
15,8196.4,0.25311,0.43877,0.20216,0.96424,0.90413,0.94747,0.85956,0.13325,0.38227,0.13369,8.614e-05,8.614e-05,8.614e-05
16,8683.27,0.24535,0.43701,0.19628,0.96812,0.90153,0.94867,0.86288,0.13519,0.4428,0.13724,8.515e-05,8.515e-05,8.515e-05
17,9168.61,0.24638,0.43914,0.19591,0.96544,0.90763,0.95239,0.87028,0.12751,0.36428,0.12813,8.416e-05,8.416e-05,8.416e-05
18,9653.43,0.24474,0.42656,0.19429,0.96713,0.91897,0.95403,0.87413,0.12817,0.3618,0.12627,8.317e-05,8.317e-05,8.317e-05
19,10142.9,0.24031,0.4186,0.19126,0.9769,0.91619,0.95361,0.8784,0.12693,0.41647,0.12149,8.218e-05,8.218e-05,8.218e-05
20,10628.2,0.23912,0.40101,0.18823,0.97413,0.92124,0.9576,0.88017,0.12726,0.38398,0.12383,8.119e-05,8.119e-05,8.119e-05
21,11113.4,0.23817,0.40546,0.18799,0.98049,0.92743,0.95918,0.88473,0.12014,0.40765,0.11464,8.02e-05,8.02e-05,8.02e-05
22,11698.1,0.23399,0.40315,0.18891,0.96389,0.929,0.95769,0.88446,0.11712,0.42722,0.11576,7.921e-05,7.921e-05,7.921e-05
23,12238.2,0.23237,0.40208,0.18527,0.96724,0.9238,0.9536,0.88516,0.11913,0.55622,0.1179,7.822e-05,7.822e-05,7.822e-05
24,12776.5,0.23077,0.38894,0.18594,0.98048,0.92696,0.95999,0.88868,0.12019,0.31977,0.11694,7.723e-05,7.723e-05,7.723e-05
25,13318.5,0.22989,0.38827,0.17988,0.98291,0.92265,0.95723,0.88544,0.12589,0.30819,0.11889,7.624e-05,7.624e-05,7.624e-05
26,13858,0.2298,0.38259,0.18276,0.97121,0.92021,0.95229,0.89004,0.12316,0.33202,0.12155,7.525e-05,7.525e-05,7.525e-05
27,14392.9,0.22203,0.37623,0.17515,0.97721,0.92058,0.957,0.88889,0.11882,0.31542,0.11696,7.426e-05,7.426e-05,7.426e-05
28,14933.5,0.22809,0.37801,0.1799,0.98171,0.92569,0.95422,0.89292,0.12033,0.29991,0.11552,7.327e-05,7.327e-05,7.327e-05
29,15361.5,0.22464,0.37322,0.17539,0.98117,0.91954,0.95521,0.89145,0.1155,0.34045,0.11198,7.228e-05,7.228e-05,7.228e-05
30,15789.9,0.21769,0.36626,0.16947,0.97934,0.92419,0.95788,0.89909,0.11476,0.28712,0.10721,7.129e-05,7.129e-05,7.129e-05
31,16217,0.21651,0.3623,0.17273,0.97192,0.91536,0.94721,0.88535,0.12149,0.32686,0.12692,7.03e-05,7.03e-05,7.03e-05
32,16590.9,0.21654,0.36539,0.16921,0.97751,0.92396,0.95338,0.89689,0.11856,0.32848,0.11714,6.931e-05,6.931e-05,6.931e-05
33,17017.2,0.21387,0.35842,0.16708,0.97882,0.90844,0.95214,0.89714,0.11654,0.29942,0.11277,6.832e-05,6.832e-05,6.832e-05
34,17445.6,0.21404,0.36055,0.16672,0.98662,0.927,0.95649,0.90112,0.11497,0.2978,0.10639,6.733e-05,6.733e-05,6.733e-05
35,17872.4,0.21254,0.35325,0.1691,0.97966,0.9282,0.95677,0.90145,0.11171,0.39491,0.10186,6.634e-05,6.634e-05,6.634e-05
36,18299.9,0.20791,0.35253,0.16291,0.98261,0.9293,0.95739,0.90021,0.1173,0.30976,0.10673,6.535e-05,6.535e-05,6.535e-05
37,18727.5,0.20802,0.33483,0.16015,0.98451,0.91773,0.95182,0.89598,0.119,0.37153,0.12146,6.436e-05,6.436e-05,6.436e-05
38,19155.8,0.2082,0.35572,0.16407,0.97419,0.91978,0.95193,0.89822,0.11583,0.42652,0.11423,6.337e-05,6.337e-05,6.337e-05
39,19529.6,0.20515,0.34686,0.16227,0.97772,0.91521,0.95083,0.89717,0.12059,0.31797,0.12657,6.238e-05,6.238e-05,6.238e-05
40,20016.9,0.20527,0.34095,0.15716,0.97415,0.92379,0.95157,0.89788,0.1181,0.33854,0.12128,6.139e-05,6.139e-05,6.139e-05
41,20390.4,0.20623,0.33872,0.16166,0.97818,0.91728,0.95188,0.9007,0.11547,0.35402,0.11191,6.04e-05,6.04e-05,6.04e-05
42,20876.7,0.20436,0.34764,0.1574,0.9777,0.91444,0.94658,0.89378,0.11543,0.33327,0.12306,5.941e-05,5.941e-05,5.941e-05
43,21250.8,0.20158,0.33593,0.15529,0.98668,0.91978,0.95506,0.90313,0.11294,0.30796,0.10645,5.842e-05,5.842e-05,5.842e-05
44,21679.2,0.19822,0.33161,0.15239,0.9819,0.92379,0.95585,0.90289,0.1135,0.2888,0.10704,5.743e-05,5.743e-05,5.743e-05
45,22052.9,0.19569,0.33364,0.15217,0.98569,0.91164,0.95186,0.90477,0.1153,0.30701,0.10879,5.644e-05,5.644e-05,5.644e-05
46,22481.5,0.19944,0.3224,0.15532,0.98405,0.91549,0.95271,0.90487,0.11511,0.30693,0.11098,5.545e-05,5.545e-05,5.545e-05
47,22909.2,0.19933,0.32148,0.1551,0.97949,0.91962,0.95283,0.90681,0.11687,0.24835,0.11329,5.446e-05,5.446e-05,5.446e-05
48,23352.2,0.19517,0.32848,0.15179,0.98627,0.92223,0.95603,0.9091,0.11481,0.25335,0.10578,5.347e-05,5.347e-05,5.347e-05
49,23725.1,0.19488,0.31906,0.14996,0.98452,0.91853,0.95655,0.90812,0.11426,0.26531,0.11175,5.248e-05,5.248e-05,5.248e-05
50,24155.3,0.19416,0.31585,0.1507,0.98711,0.92154,0.9548,0.90887,0.11189,0.25926,0.10378,5.149e-05,5.149e-05,5.149e-05
51,24582.8,0.19663,0.3131,0.15225,0.98624,0.92579,0.95464,0.90843,0.11312,0.24456,0.10311,5.05e-05,5.05e-05,5.05e-05
52,25011.8,0.19255,0.32477,0.14784,0.98866,0.92218,0.95382,0.9101,0.11072,0.25285,0.10087,4.951e-05,4.951e-05,4.951e-05
53,25440.2,0.1901,0.31285,0.14552,0.98948,0.91937,0.95453,0.91017,0.10991,0.28263,0.10065,4.852e-05,4.852e-05,4.852e-05
54,25869.7,0.18925,0.31257,0.14452,0.98951,0.92459,0.95583,0.91074,0.10855,0.28438,0.10082,4.753e-05,4.753e-05,4.753e-05
55,26243.4,0.18952,0.30966,0.14469,0.98795,0.92499,0.95286,0.90847,0.111,0.27644,0.10909,4.654e-05,4.654e-05,4.654e-05
56,26671.3,0.18583,0.30071,0.13941,0.98443,0.92459,0.95162,0.90644,0.11391,0.27737,0.11099,4.555e-05,4.555e-05,4.555e-05
57,27044.2,0.18429,0.29896,0.14303,0.98296,0.92298,0.95295,0.90899,0.10911,0.27833,0.10118,4.456e-05,4.456e-05,4.456e-05
58,27471.6,0.18745,0.30157,0.14359,0.99059,0.92218,0.95364,0.91148,0.10822,0.2553,0.10051,4.357e-05,4.357e-05,4.357e-05
59,27900.1,0.18415,0.30807,0.14085,0.98554,0.92138,0.9519,0.91161,0.10698,0.25734,0.09846,4.258e-05,4.258e-05,4.258e-05
60,28328.1,0.18231,0.3009,0.139,0.98586,0.9229,0.95177,0.91082,0.10958,0.24608,0.10239,4.159e-05,4.159e-05,4.159e-05
61,28756,0.17986,0.29793,0.1401,0.98265,0.92659,0.9525,0.90983,0.10773,0.25282,0.09773,4.06e-05,4.06e-05,4.06e-05
62,29129.5,0.18211,0.29454,0.14163,0.99052,0.92176,0.9522,0.91052,0.10753,0.24857,0.0973,3.961e-05,3.961e-05,3.961e-05
63,29557.3,0.17565,0.28735,0.13302,0.98535,0.92419,0.95308,0.91051,0.10642,0.25678,0.0966,3.862e-05,3.862e-05,3.862e-05
64,29982.9,0.1784,0.29585,0.13276,0.9825,0.92328,0.95208,0.91041,0.10926,0.25205,0.10269,3.763e-05,3.763e-05,3.763e-05
65,30410.7,0.18135,0.29389,0.13546,0.99007,0.91967,0.95264,0.91125,0.10771,0.25241,0.09871,3.664e-05,3.664e-05,3.664e-05
66,30837.1,0.17667,0.28979,0.13556,0.98132,0.92579,0.95288,0.9122,0.10855,0.25056,0.09801,3.565e-05,3.565e-05,3.565e-05
67,31264.9,0.17632,0.28621,0.13389,0.98043,0.92423,0.95156,0.91138,0.10789,0.25147,0.10154,3.466e-05,3.466e-05,3.466e-05
68,31690.7,0.17277,0.29326,0.13206,0.98246,0.92093,0.95016,0.90947,0.10867,0.25321,0.103,3.367e-05,3.367e-05,3.367e-05
69,32062.4,0.17357,0.28791,0.13209,0.98404,0.91817,0.95048,0.90946,0.10968,0.24961,0.10558,3.268e-05,3.268e-05,3.268e-05
70,32548,0.1735,0.28747,0.13243,0.98577,0.91672,0.95055,0.91083,0.10847,0.24398,0.10379,3.169e-05,3.169e-05,3.169e-05
71,32920.7,0.16817,0.27808,0.12615,0.9845,0.91711,0.95059,0.91075,0.10795,0.24631,0.09871,3.07e-05,3.07e-05,3.07e-05
72,33407.4,0.17153,0.28156,0.1269,0.99,0.91352,0.95055,0.9106,0.10939,0.24181,0.09948,2.971e-05,2.971e-05,2.971e-05
73,33780.6,0.16992,0.28464,0.12764,0.98327,0.91919,0.95082,0.91137,0.10879,0.23944,0.09896,2.872e-05,2.872e-05,2.872e-05
74,34209.4,0.16683,0.27298,0.12773,0.98956,0.91271,0.94903,0.91013,0.10939,0.2412,0.10156,2.773e-05,2.773e-05,2.773e-05
75,34583.1,0.16659,0.28111,0.12508,0.99087,0.91256,0.94912,0.90994,0.11088,0.2397,0.10475,2.674e-05,2.674e-05,2.674e-05
76,35012.6,0.16692,0.27343,0.12587,0.98861,0.91416,0.94939,0.9105,0.11015,0.24035,0.10255,2.575e-05,2.575e-05,2.575e-05
77,35439.7,0.1639,0.27179,0.12281,0.98646,0.91336,0.94885,0.90979,0.11072,0.23877,0.10545,2.476e-05,2.476e-05,2.476e-05
78,35868.6,0.16387,0.27308,0.12409,0.98531,0.91455,0.94828,0.91023,0.11163,0.23798,0.10776,2.377e-05,2.377e-05,2.377e-05
79,36241.7,0.1657,0.27264,0.12403,0.98488,0.91437,0.94813,0.91009,0.11204,0.24036,0.10894,2.278e-05,2.278e-05,2.278e-05
80,36681.7,0.16542,0.27161,0.12384,0.98634,0.91416,0.94754,0.91013,0.11172,0.24009,0.10888,2.179e-05,2.179e-05,2.179e-05
81,37055.1,0.16561,0.27093,0.12095,0.98996,0.91004,0.94728,0.90948,0.11178,0.24085,0.10962,2.08e-05,2.08e-05,2.08e-05
82,37485.8,0.16457,0.27132,0.12041,0.98975,0.91055,0.9468,0.90952,0.11053,0.247,0.10622,1.981e-05,1.981e-05,1.981e-05
83,37858.8,0.16352,0.27045,0.12113,0.98997,0.91084,0.94674,0.90906,0.1108,0.24461,0.10887,1.882e-05,1.882e-05,1.882e-05
84,38286.5,0.16381,0.2689,0.1208,0.98868,0.91058,0.94628,0.90881,0.10957,0.2494,0.10659,1.783e-05,1.783e-05,1.783e-05
85,38705,0.16288,0.26544,0.12153,0.98858,0.91095,0.94664,0.90982,0.10913,0.25028,0.10476,1.684e-05,1.684e-05,1.684e-05
86,39136.9,0.15869,0.26451,0.11784,0.98867,0.91005,0.94727,0.91024,0.1089,0.25127,0.10402,1.585e-05,1.585e-05,1.585e-05
87,39569.2,0.15731,0.26049,0.11878,0.98403,0.91432,0.9471,0.90983,0.10861,0.25047,0.10397,1.486e-05,1.486e-05,1.486e-05
88,40085.5,0.15761,0.26146,0.11854,0.99016,0.90935,0.94704,0.90934,0.10813,0.2549,0.10253,1.387e-05,1.387e-05,1.387e-05
89,40461.9,0.15524,0.25982,0.11565,0.98959,0.90814,0.94638,0.9089,0.10688,0.25762,0.10207,1.288e-05,1.288e-05,1.288e-05
90,40939.6,0.16202,0.26164,0.12331,0.9908,0.90724,0.94686,0.9091,0.10768,0.25843,0.10218,1.189e-05,1.189e-05,1.189e-05
91,41369.8,0.11103,0.1903,0.08756,0.98987,0.90814,0.947,0.90891,0.10719,0.2619,0.09945,1.09e-05,1.09e-05,1.09e-05
92,41790.5,0.11111,0.18735,0.08816,0.98869,0.90814,0.94612,0.90822,0.10845,0.25817,0.10385,9.91e-06,9.91e-06,9.91e-06
93,42313.4,0.10662,0.18495,0.08124,0.98505,0.91215,0.94563,0.90823,0.10828,0.25987,0.10374,8.92e-06,8.92e-06,8.92e-06
94,42689.5,0.1062,0.18015,0.07898,0.98569,0.91184,0.94522,0.90802,0.10873,0.26051,0.10489,7.93e-06,7.93e-06,7.93e-06
95,43166.8,0.10593,0.18151,0.0824,0.98597,0.91215,0.94492,0.90765,0.10849,0.26105,0.10617,6.94e-06,6.94e-06,6.94e-06
96,43595.6,0.10568,0.18244,0.08114,0.98611,0.91215,0.94491,0.90753,0.10834,0.26271,0.10588,5.95e-06,5.95e-06,5.95e-06
97,43970.2,0.10247,0.17987,0.08023,0.98623,0.91135,0.94474,0.90743,0.10786,0.26624,0.10521,4.96e-06,4.96e-06,4.96e-06
98,44345.2,0.10372,0.17913,0.07934,0.98696,0.91058,0.94457,0.90727,0.1076,0.26894,0.10481,3.97e-06,3.97e-06,3.97e-06
99,44823.6,0.10235,0.17944,0.07941,0.98739,0.91055,0.94435,0.90727,0.10882,0.26555,0.10583,2.98e-06,2.98e-06,2.98e-06
100,45198.3,0.10588,0.18081,0.08039,0.98664,0.91015,0.94432,0.90771,0.10903,0.26647,0.10607,1.99e-06,1.99e-06,1.99e-06
