epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,2477.3,1.02939,0.90628,1.44893,0.93326,0.89771,0.94159,0.75863,0.71465,0.9854,1.10907,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5634.84,1.03864,0.8979,1.45682,0.94678,0.88809,0.94058,0.76375,0.69213,0.92167,1.08537,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7371.91,1.04092,0.89438,1.45713,0.93767,0.89913,0.94353,0.76661,0.693,1.49466,1.08381,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8511.49,1.02191,0.88921,1.43545,0.9609,0.89714,0.94819,0.78361,0.66036,0.98872,1.05781,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10571.9,1.01898,0.88511,1.43293,0.95578,0.89303,0.94567,0.77557,0.69341,0.8175,1.08043,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,12231.2,1.01885,0.86967,1.4314,0.96382,0.8977,0.94739,0.76858,0.71217,0.64636,1.09261,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,14760.6,1.01454,0.86889,1.4291,0.95468,0.88969,0.94447,0.76663,0.70887,0.91648,1.08498,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,16835.9,1.00325,0.85953,1.41522,0.96574,0.89611,0.94961,0.78275,0.67952,1.15878,1.06699,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,18536.5,0.99963,0.86518,1.4117,0.96482,0.89531,0.9492,0.78731,0.65889,1.08966,1.04885,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,20375.7,0.99688,0.85427,1.41026,0.9549,0.90614,0.94853,0.78099,0.68757,1.51724,1.0692,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,21950.6,0.99691,0.85939,1.41086,0.96575,0.90481,0.95224,0.7792,0.67909,0.79904,1.06292,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,23415.4,0.99685,0.84344,1.41424,0.96874,0.90754,0.95437,0.7917,0.66676,1.12624,1.0514,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,25218.4,0.97674,0.82332,1.39569,0.95976,0.90895,0.9536,0.79113,0.66281,0.78712,1.05163,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,27530.5,0.97422,0.82838,1.39232,0.97068,0.90299,0.95471,0.79398,0.66165,0.94877,1.05165,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,29811.5,0.97904,0.8064,1.39789,0.96545,0.90614,0.95494,0.80168,0.63809,0.79329,1.03387,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,31995.6,0.96935,0.80632,1.38753,0.97001,0.90826,0.95481,0.79935,0.65026,0.79562,1.04671,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,34241,0.95981,0.80059,1.38143,0.97026,0.903,0.95464,0.79566,0.64885,1.15206,1.04051,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,36051.9,0.95543,0.79452,1.37904,0.96659,0.91666,0.95892,0.80027,0.65419,0.78116,1.04474,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,37703.3,0.95576,0.79068,1.37808,0.96605,0.91215,0.95532,0.80047,0.64025,0.88038,1.03624,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,39500.7,0.95036,0.78824,1.37125,0.96214,0.91733,0.95517,0.79974,0.66561,0.83503,1.04975,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,40957.9,0.94833,0.77433,1.37072,0.96631,0.91817,0.95717,0.79688,0.66021,0.68775,1.04516,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,42963.4,0.93391,0.75115,1.36404,0.97037,0.91456,0.95813,0.80388,0.64141,0.71239,1.02997,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,44310,0.93667,0.77293,1.36052,0.96457,0.92018,0.95929,0.80684,0.64549,0.67824,1.03189,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,45772.7,0.93302,0.75866,1.36443,0.96984,0.91576,0.95894,0.80911,0.64652,0.56,1.03262,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,47097,0.91893,0.74925,1.34957,0.96664,0.91834,0.95984,0.8099,0.64033,0.66819,1.0294,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,48535.9,0.9279,0.75474,1.35123,0.96554,0.92339,0.95972,0.80911,0.63614,0.69748,1.02555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,50098.6,0.91854,0.74229,1.34856,0.97004,0.92178,0.95977,0.81126,0.63502,0.5915,1.02372,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,51482,0.91413,0.73785,1.34717,0.96262,0.9297,0.96068,0.81502,0.62856,0.69429,1.01753,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,53541.4,0.9072,0.72329,1.33676,0.9739,0.91456,0.96001,0.81573,0.62972,0.83707,1.01512,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,55280.4,0.90764,0.72387,1.334,0.95738,0.92802,0.95926,0.81631,0.62604,0.87331,1.01225,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
